Station,Latitude,Longitude,geometry
11628099999,49٫5666666,15٫0833333,POINT (15.0833333 49.5666666)
11636099999,49٫1666666,15٫4333333,POINT (15.4333333 49.1666666)
11643099999,50٫7,15٫7333333,POINT (15.7333333 50.7)
11652099999,50٫013419,15٫738647,POINT (15.738647 50.013419)
11659099999,49٫5833333,15٫7666666,POINT (15.7666666 49.5833333)
1167099999,68٫7,15٫4166666,POINT (15.4166666 68.7)
11679099999,49٫9833333,16٫4166666,POINT (16.4166666 49.9833333)
11683099999,49٫7333333,16٫0333333,POINT (16.0333333 49.7333333)
11692099999,49٫165833,16٫124925,POINT (16.124925 49.165833)
11693099999,49٫1,16٫1333333,POINT (16.1333333 49.1)
11698099999,48٫8833333,16٫0833333,POINT (16.0833333 48.8833333)
11710099999,49٫65,16٫95,POINT (16.95 49.65)
11723099999,49٫151269,16٫694433,POINT (16.694433 49.151269)
11766099999,49٫7833333,17٫55,POINT (17.55 49.7833333)
11774099999,49٫3166667,17٫5666667,POINT (17.5666667 49.3166667)
11782099999,49٫696292,18٫111053,POINT (18.111053 49.696292)
11787099999,49٫55,18٫45,POINT (18.45 49.55)
11816099999,48٫170167,17٫212667,POINT (17.212667 48.170167)
11826099999,48٫6166666,17٫8333333,POINT (17.8333333 48.6166666)
1183099999,68٫4913,16٫678108,POINT (16.678108 68.4913)
11841099999,49٫2333333,18٫6166666,POINT (18.6166666 49.2333333)
11855099999,48٫2833333,18٫1333333,POINT (18.1333333 48.2833333)
11858099999,47٫8666666,18٫2,POINT (18.2 47.8666666)
11867099999,48٫7666666,18٫6,POINT (18.6 48.7666666)
11880099999,48٫1666666,18٫8666666,POINT (18.8666666 48.1666666)
11916099999,48٫9833333,19٫6,POINT (19.6 48.9833333)
11918099999,49٫3666666,19٫6833333,POINT (19.6833333 49.3666666)
11927099999,48٫3333333,19٫7333333,POINT (19.7333333 48.3333333)
11930099999,49٫2,20٫2166666,POINT (20.2166666 49.2)
11933099999,48٫9333333,22,POINT (22 48.9333333)
11934099999,49٫073594,20٫241142,POINT (20.241142 49.073594)
11938099999,48٫85,20٫1833333,POINT (20.1833333 48.85)
11968099999,48٫6666666,21٫2166666,POINT (21.2166666 48.6666666)
11976099999,49٫2166666,21٫65,POINT (21.65 49.2166666)
11978099999,48٫6666666,21٫7333333,POINT (21.7333333 48.6666666)
1199099999,68٫75,23٫5333333,POINT (23.5333333 68.75)
11993099999,48٫9333333,22,POINT (22 48.9333333)
1205099999,62٫3333333,5٫2666666,POINT (5.2666666 62.3333333)
1209099999,62٫1833333,6٫0666667,POINT (6.0666667 62.1833333)
12100099999,54٫1833333,15٫5833333,POINT (15.5833333 54.1833333)
1210099999,62٫560372,6٫110164,POINT (6.110164 62.560372)
12105099999,54٫2,16٫15,POINT (16.15 54.2)
12115099999,54٫5833333,16٫8666666,POINT (16.8666666 54.5833333)
12120099999,54٫75,17٫5333333,POINT (17.5333333 54.75)
1212099999,62٫8666666,6٫5333333,POINT (6.5333333 62.8666666)
12125099999,54٫55,17٫75,POINT (17.75 54.55)
12135099999,54٫6,18٫8166666,POINT (18.8166666 54.6)
12150099999,54٫377569,18٫466222,POINT (18.466222 54.377569)
12160099999,54٫2230556,19٫5430556,POINT (19.5430556 54.2230556)
1217099999,62٫744722,7٫2625,POINT (7.2625 62.744722)
1218099999,62٫2333333,7٫4166666,POINT (7.4166666 62.2333333)
12185099999,54٫0666666,21٫3666666,POINT (21.3666666 54.0666666)
12195099999,54٫1333333,22٫95,POINT (22.95 54.1333333)
12200099999,53٫9166666,14٫2333333,POINT (14.2333333 53.9166666)
12205099999,53٫4,14٫6166666,POINT (14.6166666 53.4)
12210099999,53٫7666666,15٫4,POINT (15.4 53.7666666)
12215099999,53٫7166666,16٫7466667,POINT (16.7466667 53.7166666)
1223099999,63٫111781,7٫824522,POINT (7.824522 63.111781)
12235099999,53٫7166666,17٫55,POINT (17.55 53.7166666)
12250099999,53٫05,18٫5833333,POINT (18.5833333 53.05)
12270099999,53٫1,20٫35,POINT (20.35 53.1)
12272099999,53٫7666666,20٫4166666,POINT (20.4166666 53.7666666)
12280099999,53٫7833333,21٫5833333,POINT (21.5833333 53.7833333)
12285099999,53٫0833333,21٫5666666,POINT (21.5666666 53.0833333)
12295099999,53٫1,23٫1666666,POINT (23.1666666 53.1)
12300099999,52٫75,15٫2833333,POINT (15.2833333 52.75)
12310099999,52٫35,14٫6,POINT (14.6 52.35)
12330099999,52٫421031,16٫826325,POINT (16.826325 52.421031)
12345099999,52٫2,18٫6666666,POINT (18.6666666 52.2)
12360099999,52٫5833333,19٫7333333,POINT (19.7333333 52.5833333)
12375099999,52٫16575,20٫967122,POINT (20.967122 52.16575)
1238099999,62٫1166666,9٫2833333,POINT (9.2833333 62.1166666)
12385099999,52٫1811111,22٫25,POINT (22.25 52.1811111)
12399099999,52٫0666666,23٫6166666,POINT (23.6166666 52.0666666)
12400099999,51٫9333333,15٫5333333,POINT (15.5333333 51.9333333)
1240099999,64٫1666666,9٫4,POINT (9.4 64.1666666)
1241099999,63٫698908,9٫604003,POINT (9.604003 63.698908)
12415099999,51٫2,16٫2,POINT (16.2 51.2)
12424099999,51٫102683,16٫885836,POINT (16.885836 51.102683)
12435099999,51٫7833333,18٫0833333,POINT (18.0833333 51.7833333)
1245099999,62٫6,9٫6666666,POINT (9.6666666 62.6)
12455099999,51٫2166666,18٫5666666,POINT (18.5666666 51.2166666)
12469099999,51٫35,19٫8666666,POINT (19.8666666 51.35)
12488099999,51٫5666666,21٫55,POINT (21.55 51.5666666)
12495099999,51٫2166666,22٫4,POINT (22.4 51.2166666)
12497099999,51٫55,23٫5333333,POINT (23.5333333 51.55)
12500099999,50٫9,15٫8,POINT (15.8 50.9)
12510099999,50٫7333333,15٫7333333,POINT (15.7333333 50.7333333)
